ZIP3,STATE,POPULATION,AP,DENT,INN_AP,INN_DENT,FRAC_INN_AP,FRAC_INN_DENT,GP,PED,SURG,PERIO,ENDO,PROSTHO,PP_AP,PP_DENT,PP_GP,PP_PED,PP_SURG,PP_PERIO,PP_ENDO,PP_PROSTHO
010,MA,476670,870,505,411,151,0.472414,0.299010,122,12,6,0,3,0,547.896552,943.900990,3907.131148,39722.500000,79445.000000,999999.000000,158890.000000,999999.000000
011,MA,170489,543,362,328,227,0.604052,0.627072,201,8,6,0,5,0,313.976059,470.964088,848.203980,21311.125000,28414.833333,999999.000000,34097.800000,999999.000000
012,MA,127310,167,132,47,30,0.281437,0.227273,26,0,2,1,0,0,762.335329,964.469697,4896.538462,999999.000000,63655.000000,127310.000000,999999.000000,999999.000000
013,MA,82577,108,101,41,40,0.379630,0.396040,38,1,0,0,0,0,764.601852,817.594059,2173.078947,82577.000000,999999.000000,999999.000000,999999.000000,999999.000000
014,MA,218826,428,319,245,185,0.572430,0.579937,164,8,7,1,4,0,511.275701,685.974922,1334.304878,27353.250000,31260.857143,218826.000000,54706.500000,999999.000000
015,MA,384338,377,336,122,116,0.323607,0.345238,91,6,8,2,7,1,1019.464191,1143.863095,4223.494505,64056.333333,48042.250000,192169.000000,54905.428571,384338.000000
016,MA,192553,522,446,266,242,0.509579,0.542601,214,9,3,2,7,1,368.875479,431.733184,899.780374,21394.777778,64184.333333,96276.500000,27507.571429,192553.000000
017,MA,399952,713,569,223,140,0.312763,0.246046,106,14,6,5,6,1,560.942496,702.903339,3773.132075,28568.000000,66658.666667,79990.400000,66658.666667,399952.000000
018,MA,749372,1566,1012,748,353,0.477650,0.348814,312,7,10,6,10,2,478.526181,740.486166,2401.833333,107053.142857,74937.200000,124895.333333,74937.200000,374686.000000
019,MA,496669,922,750,368,286,0.399132,0.381333,241,12,21,2,9,0,538.686551,662.225333,2060.867220,41389.083333,23650.904762,248334.500000,55185.444444,999999.000000
020,MA,415349,631,534,174,156,0.275753,0.292135,108,19,8,6,17,0,658.239303,777.807116,3845.824074,21860.473684,51918.625000,69224.833333,24432.294118,999999.000000
