State,County,c0
AK,Aleutians West,35
AK,Anchorage,284
AK,Bristol Bay,1
AK,Fairbanks North Star,29
AK,Juneau,2
AK,Kenai Peninsula,15
AK,Ketchikan Gateway,0
AK,Kodiak Island,0
AK,Lake And Peninsula,105
AK,Matanuska Susitna,81
AK,Sitka,0
AK,Southeast Fairbanks,35
AK,Valdez Cordova,0
AL,Autauga,53
AL,Baldwin,168
AL,Barbour,3
AL,Bibb,24
AL,Blount,35
AL,Bullock,1
AL,Butler,6
AL,Calhoun,120
AL,Chambers,2
AL,Cherokee,60
AL,Chilton,49
AL,Choctaw,5
AL,Clarke,0
AL,Clay,9
AL,Cleburne,13
AL,Coffee,51
AL,Colbert,30
AL,Conecuh,0
AL,Coosa,0
AL,Covington,5
AL,Cullman,64
AL,Dale,6
AL,Dallas,42
AL,De Kalb,42
AL,Elmore,28
AL,Escambia,9
AL,Etowah,143
AL,Fayette,0
AL,Franklin,9
AL,Geneva,1
AL,Hale,9
AL,Henry,0
AL,Houston,86
AL,Jackson,21
AL,Jefferson,701
AL,Lamar,10
AL,Lauderdale,95
AL,Lawrence,1
AL,Lee,37
AL,Limestone,87
AL,Lowndes,6
AL,Macon,24
AL,Madison,279
AL,Marengo,1
AL,Marion,8
AL,Marshall,83
AL,Mobile,309
AL,Monroe,1
AL,Montgomery,148
AL,Morgan,83
AL,Perry,2
AL,Pickens,4
AL,Pike,3
AL,Randolph,1
AL,Russell,20
AL,Saint Clair,42
AL,Shelby,135
AL,Talladega,86
AL,Tallapoosa,48
AL,Tuscaloosa,91
AL,Walker,28
AL,Wilcox,1
AL,Winston,4
AR,Arkansas,16
AR,Ashley,6
AR,Baxter,33
AR,Benton,133
AR,Boone,4
AR,Bradley,3
AR,Calhoun,1
AR,Carroll,0
AR,Chicot,5
AR,Clark,4
AR,Clay,5
AR,Cleburne,2
AR,Columbia,0
AR,Conway,5
AR,Craighead,119
AR,Crawford,39
AR,Crittenden,70
AR,Cross,10
AR,Dallas,3
AR,Desha,8
AR,Drew,5
AR,Faulkner,95
AR,Franklin,3
AR,Fulton,2
AR,Garland,87
AR,Grant,39
AR,Greene,21
AR,Hempstead,2
AR,Hot Spring,9
AR,Howard,0
AR,Independence,14
AR,Izard,3
AR,Jackson,1
AR,Jefferson,39
AR,Johnson,3
AR,Lawrence,4
AR,Lee,3
AR,Lincoln,5
AR,Little River,3
AR,Logan,8
AR,Lonoke,78
AR,Madison,8
AR,Marion,9
AR,Miller,7
AR,Mississippi,30
AR,Monroe,35
AR,Montgomery,9
AR,Nevada,1
AR,Newton,7
AR,Ouachita,5
AR,Perry,1
AR,Phillips,14
AR,Poinsett,26
AR,Polk,8
AR,Pope,49
AR,Prairie,8
AR,Pulaski,468
AR,Randolph,4
AR,Saint Francis,3
AR,Saline,116
AR,Sebastian,117
AR,Sevier,0
AR,Sharp,29
AR,Stone,0
AR,Union,4
AR,Van Buren,11
AR,Washington,179
AR,White,80
AR,Woodruff,2
AR,Yell,2
AZ,Apache,6
AZ,Cochise,117
AZ,Coconino,110
AZ,Gila,82
AZ,Graham,10
AZ,Greenlee,2
AZ,La Paz,4
AZ,Maricopa,"8,565"
AZ,Mohave,120
AZ,Navajo,54
AZ,Pima,"1,668"
AZ,Pinal,507
AZ,Santa Cruz,5
AZ,Yavapai,268
AZ,Yuma,116
CA,Alameda,"1,905"
CA,Amador,10
CA,Butte,265
CA,Calaveras,10
CA,Colusa,26
CA,Contra Costa,"1,374"
CA,Del Norte,10
CA,El Dorado,152
CA,Fresno,"1,432"
CA,Glenn,29
CA,Humboldt,35
CA,Imperial,136
CA,Inyo,11
CA,Kern,"1,446"
CA,Kings,206
CA,Lake,17
CA,Lassen,21
CA,Los Angeles,"15,666"
CA,Madera,192
CA,Marin,138
CA,Mariposa,10
CA,Mendocino,39
CA,Merced,303
CA,Modoc,6
CA,Mono,2
CA,Monterey,482
CA,Napa,185
CA,Nevada,58
CA,Orange,"5,853"
CA,Placer,676
CA,Plumas,24
CA,Riverside,"4,264"
CA,Sacramento,"2,607"
CA,San Benito,23
CA,San Bernardino,"3,329"
CA,San Diego,"4,577"
CA,San Francisco,799
CA,San Joaquin,"1,174"
CA,San Luis Obispo,147
CA,San Mateo,654
CA,Santa Barbara,410
CA,Santa Clara,"2,026"
CA,Santa Cruz,230
CA,Shasta,196
CA,Sierra,1
CA,Siskiyou,17
CA,Solano,744
CA,Sonoma,496
CA,Stanislaus,747
CA,Sutter,210
CA,Tehama,38
CA,Trinity,2
CA,Tulare,638
CA,Tuolumne,26
CA,Ventura,"1,189"
CA,Yolo,153
CA,Yuba,14
CO,Adams,804
CO,Alamosa,19
CO,Arapahoe,"1,661"
CO,Archuleta,0
CO,Bent,2
CO,Boulder,696
CO,Broomfield,302
CO,Chaffee,4
CO,Clear Creek,1
CO,Conejos,4
CO,Costilla,2
CO,Custer,0
CO,Delta,11
CO,Denver,"1,439"
CO,Dolores,3
CO,Douglas,652
CO,Eagle,43
CO,El Paso,"1,746"
CO,Elbert,10
CO,Fremont,25
CO,Garfield,22
CO,Gunnison,6
CO,Huerfano,2
CO,Jefferson,"1,541"
CO,Kit Carson,14
CO,La Plata,19
CO,Lake,6
CO,Larimer,637
CO,Las Animas,1
CO,Lincoln,19
CO,Logan,12
CO,Mesa,57
CO,Moffat,0
CO,Montezuma,8
CO,Montrose,21
CO,Morgan,8
CO,Otero,10
CO,Ouray,1
CO,Park,2
CO,Prowers,4
CO,Pueblo,158
CO,Rio Grande,2
CO,Routt,3
CO,Saguache,1
CO,San Miguel,1
CO,Summit,44
CO,Teller,26
CO,Washington,1
CO,Weld,665
CO,Yuma,1
CT,Fairfield,"1,786"
CT,Hartford,"2,222"
CT,Litchfield,320
CT,Middlesex,188
CT,New Haven,"1,556"
CT,New London,313
CT,Tolland,132
CT,Windham,89
DC,District Of Columbia,"1,243"
DE,Kent,22
