STATE,COUNTY,NUM_ACCESS_POINTS,NUM_DENTISTS
AK,Anchorage,12,12
AK,Fairbanks North Star,1,1
AK,Juneau,2,2
AK,Kenai Peninsula,3,2
AK,Matanuska Susitna,5,5
AL,Autauga,54,52
AL,Baldwin,105,80
AL,Barbour,2,2
AL,Bibb,6,6
AL,Blount,15,15
AL,Bullock,1,1
AL,Calhoun,123,120
AL,Chambers,2,2
AL,Cherokee,72,72
AL,Chilton,66,66
AL,Choctaw,7,7
AL,Clay,11,11
AL,Cleburne,11,11
AL,Coffee,77,75
AL,Colbert,24,16
AL,Covington,2,2
AL,Cullman,43,42
AL,Dale,2,2
AL,Dallas,64,64
AL,De Kalb,11,11
AL,Elmore,9,9
AL,Escambia,7,5
AL,Etowah,125,109
AL,Franklin,4,4
AL,Houston,103,102
AL,Jackson,8,8
AL,Jefferson,364,248
AL,Lauderdale,60,52
AL,Lawrence,1,1
AL,Lee,24,24
AL,Limestone,67,67
AL,Lowndes,4,4
AL,Macon,11,11
AL,Madison,42,38
AL,Marengo,1,1
AL,Marshall,74,72
AL,Mobile,167,108
AL,Monroe,1,1
AL,Montgomery,112,104
AL,Morgan,21,21
AL,Russell,58,58
AL,Saint Clair,8,8
AL,Shelby,63,60
AL,Talladega,81,81
AL,Tallapoosa,67,67
AL,Tuscaloosa,78,77
AL,Walker,10,10
AL,Winston,4,4
AR,Arkansas,11,9
AR,Ashley,2,2
AR,Baxter,23,23
AR,Benton,77,54
AR,Boone,11,11
AR,Bradley,1,1
AR,Calhoun,1,1
AR,Chicot,2,2
AR,Clark,3,3
AR,Clay,1,1
AR,Cleburne,1,1
AR,Conway,4,4
AR,Craighead,81,56
AR,Crawford,16,13
AR,Crittenden,42,42
AR,Cross,5,5
AR,Dallas,2,2
AR,Faulkner,87,77
AR,Franklin,2,2
AR,Garland,87,81
AR,Grant,23,23
AR,Greene,3,3
AR,Independence,2,2
AR,Jackson,1,1
AR,Jefferson,9,9
AR,Johnson,2,2
AR,Lawrence,2,2
AR,Lee,2,1
AR,Little River,2,1
AR,Logan,6,6
AR,Lonoke,70,47
AR,Madison,7,7
AR,Marion,2,2
AR,Miller,2,2
AR,Mississippi,8,8
AR,Monroe,28,27
AR,Montgomery,3,3
AR,Ouachita,1,1
AR,Perry,3,3
AR,Phillips,28,28
AR,Poinsett,16,9
AR,Polk,5,5
AR,Pope,17,17
AR,Prairie,3,3
AR,Pulaski,350,126
AR,Randolph,3,3
